# started on Tue Feb 25 11:18:19 2020


 Performance counter stats for 'system wide':

CPU4             606,746,019      cycles                    #    0.575 GHz                    
CPU5             688,838,120      cycles                    #    0.653 GHz                    
CPU6             649,787,134      cycles                    #    0.616 GHz                    
CPU7             610,403,789      cycles                    #    0.579 GHz                    
CPU8             598,338,301      cycles                    #    0.567 GHz                    
CPU9             605,750,394      cycles                    #    0.574 GHz                    
CPU10              6,194,090      cycles                    #    0.006 GHz                    
CPU11            105,021,555      cycles                    #    0.100 GHz                    
CPU12                 51,937      cycles                    #    0.000 GHz                    
CPU13                 50,032      cycles                    #    0.000 GHz                    
CPU14                 50,633      cycles                    #    0.000 GHz                    
CPU15                586,653      cycles                    #    0.001 GHz                    
CPU16                 52,189      cycles                    #    0.000 GHz                    
CPU17              1,056,623      cycles                    #    0.001 GHz                    
CPU18             44,320,475      cycles                    #    0.042 GHz                    
CPU19             60,254,347      cycles                    #    0.057 GHz                    
CPU20             14,725,928      cycles                    #    0.014 GHz                    
CPU21            550,811,049      cycles                    #    0.522 GHz                    
CPU22              2,797,378      cycles                    #    0.003 GHz                    
CPU23                 51,301      cycles                    #    0.000 GHz                    
CPU24                 53,689      cycles                    #    0.000 GHz                    
CPU25                 50,185      cycles                    #    0.000 GHz                    
CPU26                 50,258      cycles                    #    0.000 GHz                    
CPU27                 52,039      cycles                    #    0.000 GHz                    
CPU28                 51,439      cycles                    #    0.000 GHz                    
CPU29                 50,929      cycles                    #    0.000 GHz                    
CPU30                 49,832      cycles                    #    0.000 GHz                    
CPU31                 51,701      cycles                    #    0.000 GHz                    
CPU32             34,135,045      cycles                    #    0.032 GHz                    
CPU33             28,702,261      cycles                    #    0.027 GHz                    
CPU34            673,823,237      cycles                    #    0.639 GHz                    
CPU35            624,543,413      cycles                    #    0.592 GHz                    
CPU36            680,734,467      cycles                    #    0.645 GHz                    
CPU37            605,762,598      cycles                    #    0.574 GHz                    
CPU38            604,935,171      cycles                    #    0.574 GHz                    
CPU39            615,497,032      cycles                    #    0.584 GHz                    
CPU40            632,052,423      cycles                    #    0.599 GHz                    
CPU41            605,695,564      cycles                    #    0.574 GHz                    
CPU42                 44,913      cycles                    #    0.000 GHz                    
CPU43                 44,934      cycles                    #    0.000 GHz                    
CPU44                 45,795      cycles                    #    0.000 GHz                    
CPU45                 44,724      cycles                    #    0.000 GHz                    
CPU46                 45,555      cycles                    #    0.000 GHz                    
CPU47                 45,329      cycles                    #    0.000 GHz                    
CPU48                202,001      cycles                    #    0.000 GHz                    
CPU49                266,255      cycles                    #    0.000 GHz                    
CPU50                265,355      cycles                    #    0.000 GHz                    
CPU51                 45,547      cycles                    #    0.000 GHz                    
CPU52              2,702,627      cycles                    #    0.003 GHz                    
CPU53              3,400,107      cycles                    #    0.003 GHz                    
CPU54              2,753,071      cycles                    #    0.003 GHz                    
CPU55                333,821      cycles                    #    0.000 GHz                    
CPU56                 45,409      cycles                    #    0.000 GHz                    
CPU57                463,306      cycles                    #    0.000 GHz                    
CPU58                 44,939      cycles                    #    0.000 GHz                    
CPU59                 45,016      cycles                    #    0.000 GHz                    
CPU60                 46,235      cycles                    #    0.000 GHz                    
CPU61                 45,214      cycles                    #    0.000 GHz                    
CPU62                 45,448      cycles                    #    0.000 GHz                    
CPU63                 45,056      cycles                    #    0.000 GHz                    
